                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.33076,                0.25158,                0.91104,                0.80282,                0.66112,                0.75165,                0.66648,                0.76152,                 1.3689,                 1.1941,               0.006238,               0.006238,               0.006238
                    116,                 0.3224,                0.24401,                0.90771,                0.80128,                0.66437,                0.75282,                0.67148,                0.76844,                 1.3813,                 1.1911,               0.006205,               0.006205,               0.006205
                    117,                0.32741,                0.24857,                0.90879,                0.88489,                0.63512,                0.76973,                0.68699,                0.72758,                 1.3144,                 1.1695,               0.006172,               0.006172,               0.006172
                    118,                0.32582,                0.24455,                0.90212,                0.88519,                0.65478,                0.78922,                0.70337,                0.73823,                 1.2925,                 1.1765,               0.006139,               0.006139,               0.006139
                    119,                0.32663,                0.24534,                0.90462,                0.90667,                0.63815,                0.77066,                0.67531,                0.75858,                 1.2744,                 1.2155,               0.006106,               0.006106,               0.006106
                    120,                0.32585,                0.24619,                0.90709,                0.92319,                 0.6029,                0.77624,                0.68403,                0.74516,                 1.2899,                 1.1857,               0.006073,               0.006073,               0.006073
                    121,                0.31928,                0.24087,                0.90436,                0.87366,                0.64082,                0.76783,                0.67573,                  0.737,                  1.306,                 1.1688,                0.00604,                0.00604,                0.00604
                    122,                0.31976,                0.24214,                 0.9051,                0.91515,                0.62072,                0.78425,                0.69598,                0.74236,                 1.3248,                 1.1649,               0.006007,               0.006007,               0.006007
                    123,                0.31858,                0.24228,                0.90684,                0.83353,                0.64654,                0.77829,                0.69576,                0.75684,                 1.3075,                 1.2027,               0.005974,               0.005974,               0.005974
                    124,                0.31769,                 0.2433,                0.90288,                0.85112,                0.64471,                0.77698,                0.68893,                0.74079,                 1.3045,                   1.18,               0.005941,               0.005941,               0.005941
                    125,                0.32463,                0.24271,                 0.9063,                0.88481,                0.62629,                0.77297,                0.68541,                 0.7348,                 1.3402,                 1.1938,               0.005908,               0.005908,               0.005908
                    126,                0.31676,                 0.2386,                0.90325,                0.82188,                0.65743,                0.77491,                 0.6897,                0.73109,                 1.2955,                 1.2061,               0.005875,               0.005875,               0.005875
                    127,                0.31576,                0.23651,                0.90209,                0.88498,                0.63611,                0.78263,                0.68514,                0.71155,                 1.3156,                 1.1682,               0.005842,               0.005842,               0.005842
                    128,                0.31448,                0.24033,                0.90024,                0.85806,                0.64988,                0.77203,                0.68353,                0.70532,                 1.3425,                 1.1549,               0.005809,               0.005809,               0.005809
                    129,                0.30324,                 0.2315,                 0.8971,                0.90443,                  0.645,                0.78389,                0.69887,                0.73791,                 1.3187,                 1.1778,               0.005776,               0.005776,               0.005776
                    130,                 0.3106,                0.23558,                 0.9001,                0.88483,                0.66774,                0.78763,                0.69907,                0.75339,                 1.3212,                 1.1959,               0.005743,               0.005743,               0.005743
                    131,                0.30582,                0.23372,                0.90039,                0.86416,                0.66853,                0.78637,                0.69998,                0.70592,                  1.328,                  1.151,                0.00571,                0.00571,                0.00571
                    132,                 0.3032,                0.23077,                0.89892,                0.81594,                 0.6668,                0.76369,                0.67811,                0.71017,                 1.2957,                  1.164,               0.005677,               0.005677,               0.005677
                    133,                0.30626,                0.23272,                0.89757,                0.79489,                0.67591,                0.75816,                0.68241,                0.72409,                 1.3117,                   1.19,               0.005644,               0.005644,               0.005644
                    134,                0.30223,                0.23208,                 0.9011,                0.84076,                0.68104,                0.76982,                0.68072,                0.71649,                 1.2844,                 1.1768,               0.005611,               0.005611,               0.005611
                    135,                 0.3054,                0.23287,                0.90035,                0.82556,                0.65253,                0.76593,                0.68409,                0.71076,                 1.2504,                 1.1765,               0.005578,               0.005578,               0.005578
                    136,                0.30181,                0.22729,                0.89596,                 0.8227,                0.66121,                0.76008,                0.67566,                0.71521,                 1.3055,                 1.1653,               0.005545,               0.005545,               0.005545
                    137,                0.29795,                  0.228,                0.89648,                0.91535,                0.63216,                0.80287,                0.71788,                0.70474,                 1.3018,                 1.1524,               0.005512,               0.005512,               0.005512
                    138,                0.30188,                0.23298,                0.89861,                 0.8984,                0.67622,                0.80573,                0.71823,                 0.7085,                 1.2587,                   1.15,               0.005479,               0.005479,               0.005479
                    139,                0.29857,                0.23098,                0.89636,                0.88214,                0.63682,                0.79383,                0.70887,                0.69127,                 1.2518,                 1.1546,               0.005446,               0.005446,               0.005446
                    140,                0.29896,                0.22964,                0.89629,                0.88826,                 0.6416,                0.78043,                0.69095,                0.69268,                 1.2996,                 1.1568,               0.005413,               0.005413,               0.005413
                    141,                0.29968,                0.23477,                0.89673,                0.88109,                0.64778,                0.78923,                0.70011,                0.69988,                 1.2611,                 1.1658,                0.00538,                0.00538,                0.00538
                    142,                0.29258,                0.22635,                0.89242,                0.88534,                0.67294,                 0.7929,                0.69653,                0.70374,                 1.2571,                 1.1696,               0.005347,               0.005347,               0.005347
                    143,                0.29527,                0.22057,                0.89132,                0.88815,                 0.6665,                0.78459,                0.70019,                0.70045,                 1.2295,                 1.1614,               0.005314,               0.005314,               0.005314
                    144,                0.29232,                0.22569,                0.89259,                0.88205,                 0.6621,                0.78571,                0.70377,                 0.6932,                 1.2545,                 1.1551,               0.005281,               0.005281,               0.005281
                    145,                 0.2887,                0.22296,                0.88726,                0.90971,                0.66071,                0.78473,                0.70158,                0.70928,                 1.2699,                 1.1568,               0.005248,               0.005248,               0.005248
                    146,                0.28995,                0.22508,                0.89097,                0.87944,                0.67088,                0.79334,                0.71078,                0.71454,                  1.324,                 1.1734,               0.005215,               0.005215,               0.005215
                    147,                0.28849,                0.21863,                0.89159,                0.86133,                0.65996,                0.78592,                0.70879,                  0.705,                 1.3512,                 1.1652,               0.005182,               0.005182,               0.005182
                    148,                0.29104,                0.22466,                0.89288,                0.89444,                0.64373,                0.79159,                0.71028,                0.70247,                 1.3587,                 1.1537,               0.005149,               0.005149,               0.005149
                    149,                0.28607,                0.22104,                0.88834,                0.86242,                0.67028,                0.80196,                0.71414,                0.71416,                 1.3238,                 1.1704,               0.005116,               0.005116,               0.005116
                    150,                0.28053,                0.21429,                0.88902,                0.89807,                0.65162,                0.79028,                0.70763,                0.70521,                 1.3103,                 1.1687,               0.005083,               0.005083,               0.005083
                    151,                0.28247,                0.21893,                0.88927,                 0.9143,                0.62814,                0.79377,                0.71449,                0.71755,                 1.3099,                 1.1739,                0.00505,                0.00505,                0.00505
                    152,                0.28637,                0.21656,                0.89118,                0.85894,                0.68644,                0.80393,                0.71445,                0.74323,                 1.3354,                 1.2002,               0.005017,               0.005017,               0.005017
